編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMJJIHFFAA98CA,坡道機械,0,17.45,
RPSNMLMJJIHFFBA66CA,其他,0,7.67,
RPVOMLRJJIHFFBA57CA,升降平面,0,33.05,
RPVOMLRJJIHFFBA57CA,升降平面,0,33.05,
RPVOMLRJJIHFFBA57CA,升降平面,0,33.05,
RPVOMLRJJIHFFBA57CA,升降平面,0,33.05,
RPPQMLMJJIHFFCA76CA,坡道平面,0,38.74,
RPSRMLPJJIHFFCA47CA,坡道平面,0,34.14,
RPSRMLPJJIHFFCA47CA,坡道平面,0,34.14,
RPQNMLQJJIHFFCA96CA,坡道機械,900000,16.29,
RPPQMLQJJIHFFCA17CA,升降平面,0,14.05,
RPTQMLQJJIHFFCA57CA,坡道平面,0,,
RPTQMLQJJIHFFCA57CA,坡道平面,0,,
RPXOMLNKJIHFFBA47CA,坡道平面,0,,
RPOOMLOKLHIFFAA76CA,塔式車位,1500000,10.00,
RPTRMLMJJIHFFDA37CA,坡道平面,0,33.81,
RPXOMLQJJIHFFAA57CA,升降機械,0,,
RPRWMLNKJIHFFDA87CA,坡道平面,0,22.57,
RPRWMLNKJIHFFDA87CA,坡道平面,0,20.83,
RPSNMLPKJIHFFCA17CA,坡道機械,0,18.52,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPVSMLTLJIHFFCA48CA,坡道平面,0,33.32,
RPSRMLRLJIHFFDA97CA,坡道平面,0,22.57,
RPTSMLTLJIHFFCA28CA,坡道平面,0,33.32,
RPTSMLTLJIHFFCA28CA,坡道平面,0,33.32,
