鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義巿東區文雅里13鄰文雅街259號3樓之1,27.7,住,,,1011007,土地1建物2車位0,三層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821012,108.5,3,1,2,有,無,3360000,30967,,0.0,0,,RPXNMLMJJIHFFAI87CA,89.69,2.11,16.07,,
嘉義市,房地(土地+建物),嘉義市嘉義巿保仁三街１６２巷２９弄１號,79.0,住,,,1011029,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621216,86.24,4,2,2,有,無,1900000,22032,,0.0,0,,RPPNMLMKJIHFFAI17CA,86.24,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿保建街３６之１３號９樓２,15.03,住,,,1011011,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820623,85.55000000000001,3,2,2,有,無,1300000,15196,,0.0,0,,RPQNMLMKJIHFFAI27CA,60.59,0.0,6.0,,
嘉義市,土地,玉川段13-44地號,111.0,住,,,1011019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18300000,164865,,0.0,0,,RPQOMLTKJIHFFAI08CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路３４３號九樓７,3.59,住,,,1011023,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,28.419999999999998,1,0,1,無,有,300000,10555,,0.0,0,,RPVNMLLLJIHFFAI77CA,15.96,0.0,3.26,,
嘉義市,房地(土地+建物),嘉義市嘉義巿文雅街２７５號４樓,33.59,住,,,1011023,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830408,138.47,4,2,2,有,有,2900000,20943,,0.0,0,,RPQNMLMLJIHFFAI37CA,122.32,2.2,13.95,,
嘉義市,房地(土地+建物),嘉義市嘉義巿南京路２０巷２２號５樓之２,19.48,住,,,1011030,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840306,82.96,3,2,2,有,有,2320000,27965,,0.0,0,,RPSOMLSLJIHFFAI28CA,74.04,4.04,4.88,,
嘉義市,房地(土地+建物),嘉義市嘉義巿永福一街４０號５樓３,14.38,住,,,1010920,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800403,84.4,2,2,1,有,有,1500000,17773,,0.0,0,,RPSNMLKMJIHFFAI47CA,74.44,0.0,9.96,,
嘉義市,房地(土地+建物),嘉義市嘉義巿自強街１９５巷３４之２號６樓１,15.12,住,,,1011005,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800620,70.27,3,1,1,有,有,1600000,22769,,0.0,0,,RPTNMLKMJIHFFAI57CA,51.64,0.0,18.63,,
嘉義市,房地(土地+建物),嘉義市嘉義巿南興路１９９巷４３號４樓１,27.73,住,,,1011022,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840830,119.58,3,2,2,有,無,1900000,15889,,0.0,0,,RPSNMLQJJIHFFAI97EA,72.44,0.0,7.5,,
嘉義市,土地,湖內段1073地號,146.75,住,,,1011020,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,11584,,0.0,0,,RPWNMLSJJIHFFAI58EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路１８３號７樓３,4.76,住,,,1011025,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,39.51,1,1,1,有,有,650000,16451,,0.0,0,,RPOOMLRJJIHFFAI77EA,25.04,0.0,3.6,,
嘉義市,土地,劉厝段27-24地號,373.0,住,,,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,40214,,0.0,0,,RPPOMLRJJIHFFAI87EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路一段４８６－１號５Ｆ４,8.21,住,,,1011018,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831231,58.050000000000004,1,1,1,有,有,1300000,22396,,0.0,0,,RPQNMLPJJIHFFAI67EA,37.62,0.0,4.47,,
嘉義市,土地,湖子內段湖內小段201地號,5440.0,農,,,1011022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31000000,5699,,0.0,0,,RPSNMLPJJIHFFAI87EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝北街１１０之１８０號,208.0,住,,,1000518,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010905,303.37,5,3,6,有,無,12300000,40545,,0.0,0,,RPTNMLPJJIHFFAI97EA,278.27,0.0,25.1,,
嘉義市,土地,崎頂段357-2地號,661.0,農,,,1011013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,3933,,0.0,0,,RPRNMLQJJIHFFAI87EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿八德路３０９號１２樓１,20.42,住,,,1011022,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830718,217.06,5,2,3,有,有,4200000,19349,,0.0,0,,RPVNMLTJJIHFFAI58EA,156.58,0.61,17.69,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大利街２２０巷７號,102.47,住,,,1011017,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920523,158.96,4,3,3,有,無,4200000,26422,,0.0,0,,RPRNMLQKJIHFFAI87DA,140.36,0.0,18.6,,
嘉義市,房地(土地+建物),嘉義市嘉義巿荖藤里後厝仔２９號之１１,77.0,住,,,1010925,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0701209,92.7,2,1,2,有,無,1700000,18339,,0.0,0,,RPWNMLMLJIHFFAI97CA,92.7,0.0,0.0,,
嘉義市,土地,玉川段113-2地號,13.0,住,,,1011029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,8462,,0.0,0,,RPQNMLNLJIHFFAI47CA,0.0,0.0,0.0,,
嘉義市,土地,玉川段114-29地號,387.0,其他,,,1011019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1240000,3204,,0.0,0,,RPRNMLRJJIHFFAI77CA,0.0,0.0,0.0,,
嘉義市,土地,玉川段114-25地號,3.0,其他,,,1011019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15210,5070,,0.0,0,,RPSNMLRJJIHFFAI87CA,0.0,0.0,0.0,,
嘉義市,土地,北湖段141地號,530.0,農,,,1011025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3880000,7321,,0.0,0,,RPPOMLRJJIHFFAI67CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿東區文雅里東洋新?s342號四樓1,16.14,住,,,1011018,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741129,63.35,2,1,1,有,有,1438000,22699,,0.0,0,,RPQOMLRJJIHFFAI77CA,43.43,0.0,7.27,,
嘉義市,房地(土地+建物),嘉義市嘉義巿博東路１５１號１６樓１,14.48,住,,,1010926,土地1建物1車位0,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.94,3,2,2,有,有,2600000,21678,,0.0,0,,RPQNMLSJJIHFFAI77CA,74.21,0.0,12.05,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿志昇街１５號九樓之２,37.78,住,,,1011007,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,3500000,19059,坡道平面,0.0,0,,RPROMLTJJIHFFAI08CA,96.19,0.0,12.07,,
嘉義市,土地,盧厝段344-56地號,407.0,住,,,1011019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12311750,30250,,0.0,0,,RPVNMLPKJIHFFAI08CA,0.0,0.0,0.0,,
嘉義市,土地,盧厝段344-53地號,56.24,住,,,1011019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,19558,,0.0,0,,RPWNMLPKJIHFFAI18CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大業街２８號,107.0,住,,,1011015,土地3建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,鋼筋混凝土加強磚造,0630423,96.18,2,2,2,有,無,3580000,37222,,0.0,0,,RPPNMLSJJIHFFAI67CA,96.18,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿武昌街２５號,68.0,住,,,1011022,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0841120,205.96,6,2,4,有,無,5550000,26947,,0.0,0,,RPTNMLRJJIHFFAI97CA,192.6,0.0,13.36,,
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路１４３號１９樓２,7.07,住,,,1011009,土地1建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,89.82,2,1,1,有,有,1600000,17814,,0.0,0,,RPSNMLTJJIHFFAI28EA,62.92,0.0,7.32,,
嘉義市,土地,下路頭段245-220地號,37.56,住,,,1011012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1075989,28645,,0.0,0,,RPSNMLOKJIHFFAI87EA,0.0,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿宣信街２５４之３號,0.0,,,,1011012,土地0建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720920,127.66,3,1,1,有,有,1034761,8106,,0.0,0,,RPTNMLOKJIHFFAI97EA,96.03,0.0,0.0,,
嘉義市,土地,蘭潭段81地號,1002.0,農,,,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5454000,5443,,0.0,0,,RPRNMLLLJIHFFAI57EA,0.0,0.0,0.0,,
嘉義市,土地,蘭潭段81-3地號,1261.16,農,,,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6867000,5445,,0.0,0,,RPSNMLLLJIHFFAI67EA,0.0,0.0,0.0,,
嘉義市,土地,竹圍子段二小段161地號,186.0,住,,,1010917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,40860,,0.0,0,,RPOOMLQKJIHFFAI77EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝路４８３號四樓之２,28.1,住,,,1011102,土地0建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730623,84.29,3,1,2,有,無,1500000,17796,,0.0,0,,RPQOMLTKJIHFFAI28EA,84.29,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿東義路１５６巷１６－３４號,121.45,住,,,1011009,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880416,192.64,4,2,3,有,無,4680000,24294,,0.0,0,,RPQNMLQKJIHFFAI77DA,170.25,2.09,20.3,,
嘉義市,房地(土地+建物),嘉義市嘉義巿東洋新?４５７號三樓１,29.45,住,,,1011012,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720708,103.45,3,1,1,有,無,2500000,24166,,0.0,0,,RPPNMLLKJHIFFAI27EA,82.8,0.0,5.24,,
嘉義市,土地,東川段1305地號,133.0,住,,,1010928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15200000,114286,,0.0,0,,RPWNMLRJJIHFFAI48EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿泰山三街７８號６樓２,31.85,住,,,1011022,土地0建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870518,152.79,3,1,2,有,有,2150000,14072,,0.0,0,,RPPNMLQJKIHFFAI77EA,95.98,0.0,10.58,,
嘉義市,房地(土地+建物),嘉義市嘉義巿玉山路１５８巷１１０號八樓之３,5.78,住,,,1011024,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840711,39.41,1,1,1,有,有,680000,17255,,0.0,0,,RPSNMLQJJIHFFAI77CA,27.85,0.43,3.42,,
嘉義市,房地(土地+建物),嘉義市嘉義巿保安二路１７９號,96.0,住,,,1011016,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660228,117.15,3,2,2,有,無,6200000,52924,,0.0,0,,RPTNMLQJJIHFFAI87CA,112.86,4.29,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿東義路１５６巷３５弄２８號,73.0,住,,,1011022,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670202,88.54,3,2,2,有,無,2000000,22589,,0.0,0,,RPPNMLRJJIHFFAI57CA,88.54,0.0,0.0,,
嘉義市,土地,竹圍子段412-11地號,124.0,住,,,1011026,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,58871,,0.0,0,,RPVNMLSJJIHFFAI28CA,0.0,0.0,0.0,,
嘉義市,土地,竹圍子段411-13地號,65.0,住,,,1011026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,41538,,0.0,0,,RPWNMLSJJIHFFAI38CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿民權路332巷46號,164.0,商,,,1011018,土地3建物1車位0,全,二層,透天厝,住家用,鋼造,0850705,198.48,8,0,8,有,無,6200000,31237,,0.0,0,,RPSOMLOKJIHFFAI77CA,198.48,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿建國路１８巷３０號,60.0,住,,,1011025,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670323,100.67,2,1,2,有,無,1850000,18377,,0.0,0,,RPRNMLSJJIHFFAI87CA,97.2,3.47,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿光正街５３巷３號,381.0,住,,,1011005,土地4建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1010604,684.56,7,3,6,有,無,42500000,62084,,0.0,0,,RPWNMLNKJIHFFAI97CA,625.29,0.0,59.27,,
嘉義市,房地(土地+建物),嘉義市嘉義巿武昌街４２之１號,63.33,住,,,1011019,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680606,88.24,3,2,2,有,無,3500000,39665,,0.0,0,,RPQOMLKMJIHFFAI37CA,85.08,3.16,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿玉山路２４０巷１６號十一樓之２,10.0,住,,,1011019,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,107.14,3,2,2,有,有,1850000,17267,,0.0,0,,RPUNMLPLJIHFFAI08CA,72.06,0.0,10.71,,
嘉義市,土地,同興段553地號,3505.0,農,,,1011002,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,3024,,0.0,0,本件地政士委任辦理所有權移轉登記地政士未簽訂買賣契約,RPWNMLNJKIHFFAI97CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路一段４９２巷２７號４樓１,29.93,住,,,1011106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770709,95.13,2,1,2,有,無,300000,3154,,0.0,0,,RPSNMLNKJIHFFAI77EA,83.82,0.0,11.31,,
嘉義市,房地(土地+建物),嘉義市嘉義巿自強街１９５巷３３－１５號８樓１,16.42,住,,,1011023,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841013,101.94,3,2,2,有,有,2200000,21581,,0.0,0,,RPQNMLSJJIHFFAI97EA,86.09,0.0,15.85,,
嘉義市,房地(土地+建物),嘉義市嘉義巿安和街２２０巷１９號,68.0,住,,,1011029,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630621,93.6,3,2,3,有,無,4200000,44872,,0.0,0,,RPVNMLSJJIHFFAI48EA,93.6,0.0,0.0,,
嘉義市,土地,劉厝段玉山小段37地號,1608.49,住,,,1011022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40627760,25258,,0.0,0,,RPRNMLTJJIHFFAI18EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大信街８７巷１６號,77.89,住,,,1011018,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960626,177.2,3,3,4,有,無,5350000,30192,,0.0,0,,RPSNMLOJKIHFFAI67CA,161.67,0.0,15.53,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大同路６０７號,78.44,住,,,1011013,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0931005,180.04,4,2,3,有,無,6680000,37103,,0.0,0,,RPPOMLRLJIHFFAI87CA,159.68,0.0,20.36,,
嘉義市,土地,荖藤段127地號,218.0,住,,,1011012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4290000,19679,,0.0,0,,RPTNMLSJJIHFFAI08CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿仁愛路２４０巷２０號十樓,34.83,住,,,1011020,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931028,114.65,3,2,2,無,有,3950000,34453,坡道平面,0.0,0,,RPPNMLTJJIHFFAI77CA,101.73,0.0,12.92,,
嘉義市,房地(土地+建物),嘉義市嘉義巿溪興街１０５巷３４號５樓１,12.5,商,,,1011019,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860131,79.8,3,2,2,有,有,2280000,28571,,0.0,0,,RPQNMLTJJIHFFAI87CA,74.93,0.0,4.87,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街６１３巷６號,76.0,住,,,1011002,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0791130,135.01,4,2,4,有,無,4380000,32442,,0.0,0,,RPQOMLNLJIHFFAI57CA,120.24,14.77,0.0,,
嘉義市,土地,車店段車店小段808地號,143.0,住,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,62937,,0.0,0,,RPQNMLPLJIHFFAI67CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教東路８６號,203.0,住,,,1011022,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0750202,116.87,3,3,2,有,無,7225000,61821,,0.0,0,,RPPOMLNLJIHFFAI47CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路２５５巷１１號,112.0,住,,,1010929,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830113,205.83,9,0,9,有,無,6100000,29636,,0.0,0,,RPQNMLPKJIHFFAI57CA,197.13,8.7,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路２９４之１號５樓之２,4.37,住,,,1011101,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,19.25,1,0,1,有,有,400000,20779,,0.0,0,,RPSNMLMKJIHFFAI47CA,14.67,0.0,4.58,,
嘉義市,土地,竹圍子段20-23地號,95.0,住,,,1011020,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,21053,,0.0,0,,RPPNMLNKJIHFFAI27CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿新民路７０７巷１１號３樓１４,11.59,住,,,1011102,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860516,42.27,1,1,1,有,有,1276000,30187,,0.0,0,,RPQNMLNKJIHFFAI37CA,35.26,0.0,7.01,,
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路１６１號１１樓２,9.24,住,,,1011022,土地1建物1車位0,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,87.06,3,1,2,有,無,1980000,22743,,0.0,0,,RPUNMLNKJIHFFAI77CA,82.9,0.0,4.16,,
嘉義市,房地(土地+建物),嘉義市嘉義巿德福街２１號８樓２,15.64,住,,,1011016,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831123,103.32000000000001,2,2,1,有,有,2180000,21099,,0.0,0,,RPVNMLNKJIHFFAI87CA,63.45,0.0,14.34,,
嘉義市,土地,竹圍子段友愛小段161地號,163.0,住,,,1011010,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7642662,46887,,0.0,0,,RPTNMLOKJIHFFAI77CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大聖二街５５號,58.22,住,,,1011025,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0941125,103.67,4,3,4,有,無,3200000,30867,,0.0,0,,RPXNMLNKJIHFFAI08CA,90.98,0.0,12.7,,
嘉義市,房地(土地+建物),嘉義市嘉義巿大富東街２０號,99.27,住,,,1010917,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1010808,202.36,4,2,4,有,無,7900000,39039,,0.0,0,,RPOOMLNKJIHFFAI27CA,175.49,0.0,26.87,,
嘉義市,土地,劉厝段劉厝小段19地號,1156.0,農,,,1011015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12239150,10588,,0.0,0,,RPPOMLNKJIHFFAI37CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿忠順一街19號3樓6,5.86,住,,,1011102,土地1建物1車位0,三層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820317,30.2,1,0,1,有,有,880000,29139,,0.0,0,,RPVNMLOKJIHFFAI97CA,30.2,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿姜安街８５號,0.0,,,,1010416,土地0建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010803,213.67,4,2,3,有,無,3080000,14415,,0.0,0,,RPXNMLQLJIHFFAI48CA,198.05,0.0,15.62,,
嘉義市,土地,大溪厝段1-152地號,130.0,住,,,1010419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6060000,46615,,0.0,0,,RPOOMLQLJIHFFAI67CA,0.0,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿姜安街８１號,0.0,,,,1010419,土地0建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010803,202.41,4,2,5,有,無,2800000,13833,,0.0,0,,RPPOMLQLJIHFFAI77CA,193.34,0.0,9.07,,
嘉義市,土地,大溪厝段1-24地號,156.0,住,,,1001202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7070000,45321,,0.0,0,,RPQOMLQLJIHFFAI87CA,0.0,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿姜安街８３號,0.0,,,,1001202,土地0建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010803,219.92,5,2,3,有,無,3000000,13641,,0.0,0,,RPROMLQLJIHFFAI97CA,203.44,0.0,16.48,,
嘉義市,土地,大溪厝段1-81地號,109.0,住,,,1010409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5650000,51835,,0.0,0,,RPSOMLQLJIHFFAI08CA,0.0,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿姜安街８９號,0.0,,,,1010409,土地0建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010803,218.58,4,2,3,有,無,2950000,13496,,0.0,0,,RPTOMLQLJIHFFAI18CA,195.1,0.0,23.48,,
嘉義市,土地,大溪厝段1-154地號,86.0,住,,,1001010,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,47674,,0.0,0,,RPUOMLQLJIHFFAI28CA,0.0,0.0,0.0,,
嘉義市,建物,嘉義市嘉義巿姜安街８７號,0.0,,,,1001010,土地0建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1010803,179.44,4,2,3,有,無,2400000,13375,,0.0,0,,RPVOMLQLJIHFFAI38CA,169.19,0.0,10.25,,
嘉義市,土地,大溪厝段1-23地號,98.0,其他,,,1010416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1222000,12469,,0.0,0,,RPXOMLQLJIHFFAI58CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿友愛路９９１之７號,90.44,住,,,1011007,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0960918,240.62,3,2,3,有,無,7750000,32208,,0.0,0,,RPWNMLPLJIHFFAI28CA,225.04,0.0,15.58,,
嘉義市,土地,大溪厝段1-153地號,107.0,住,,,1010416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5240000,48972,,0.0,0,,RPPNMLOLJIHFFAI47CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿玉?街７７之８號,168.02,住,,,1010924,土地4建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1001213,374.18,0,0,0,無,無,26900000,71891,,0.0,0,,RPPNMLKMJIHFFAI17CA,345.79,0.0,28.39,,
嘉義市,房地(土地+建物),嘉義市嘉義巿興業東路11巷24號,76.0,商,,,1010926,土地2建物3車位0,一層，二層,二層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土加強磚造,0720509,138.62,0,0,0,有,無,3650000,26331,,0.0,0,,RPRNMLKMJIHFFAI37CA,138.62,0.0,0.0,,
嘉義市,土地,竹圍子段157-7地號,512.0,商,,,1010919,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23232000,45375,,0.0,0,,RPTNMLPJKIHFFAI87CA,0.0,0.0,0.0,,
嘉義市,土地,竹圍子段103-53地號,159.0,商,,,1010930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14669737,92262,,0.0,0,,RPUNMLPJKIHFFAI97CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿八德路３２８號５樓２,14.52,住,,,1011022,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831129,138.0,4,2,2,有,有,2800000,20289,,0.0,0,,RPRNMLOJKIHFFAI57CA,100.22,3.52,10.81,,
嘉義市,房地(土地+建物),嘉義市嘉義巿台林街１２４之１５號６樓,57.0,住,,,1011020,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790123,170.84,3,2,2,有,有,3550000,20780,,0.0,0,,RPVNMLQJKIHFFAI18CA,113.85,0.72,10.56,,
