編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLMJJILFFAF37CA,18,9.02,共有部分,鋼筋混凝土造,87年11月6日,九層,
RPPPMLMJJILFFAF37CA,18,55.01,住家用,鋼筋混凝土造,87年11月6日,九層,五層 陽臺
RPPPMLMJJILFFAF37CA,18,9.29,電樓梯間等共同設施,鋼筋混凝土造,87年11月6日,九層,
RPWQMLNJJILFFAF28CA,17,21.71,住家用,鋼筋混凝土造,88年10月15日,八層,六層
RPWQMLNJJILFFAF28CA,17,4.16,共有部分,鋼筋混凝土造,88年10月15日,八層,
RPWQMLNJJILFFAF28CA,17,6.32,共有部分,鋼筋混凝土造,88年10月15日,八層,
RPQNMLNJJILFFAF37CA,,89.24,住家用,加強磚造,,二層,一層 二層
RPROMLOJJILFFAF67CA,7,70.82,住家用,鋼筋混凝土造,98年8月27日,十三層,十層 陽臺 雨遮
RPROMLOJJILFFAF67CA,7,27.46,共有部分,鋼筋混凝土造,98年8月27日,十五層,
RPROMLOJJILFFAF67CA,7,19.38,共有部分,鋼筋混凝土造,98年8月27日,十五層,
RPPQMLLJJILFFAF37CA,18,101.30,住家用,鋼筋混凝土造,87年6月26日,十二層,十層 陽臺
RPPQMLLJJILFFAF37CA,18,12.05,共有部分,鋼筋混凝土造,87年6月26日,十二層,
RPRPMLNJJILFFAF67CA,10,53.90,住家用,鋼骨鋼筋混凝土造,95年9月14日,三十七層,十八層 陽臺
RPRPMLNJJILFFAF67CA,10,11.18,共有部分,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLLJJILFFAF67CA,1,98.50,集合住宅,鋼筋混凝土造,104年9月8日,十五層,十一層 陽臺
RPRPMLNJJILFFAF67CA,10,2.01,共有部分,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLLJJILFFAF67CA,1,26.72,本共有部分項目有：電樓梯間、排煙室、機房、排煙室兼梯廳、梯廳、水表區、樓梯間、電梯機房、水箱、蓄水池、揚水泵浦區、機電設備空間〈Ａ棟電表室〉、消防水池等１３項,鋼筋混凝土造,104年9月8日,十五層,
RPRPMLNJJILFFAF67CA,10,3.26,共有部分,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLLJJILFFAF67CA,1,15.91,本共有部分項目有：進風機房、進風管道、污水機房〈甲、乙〉、消防幫浦室、排風機房、機電設備空間、緊急發電機室、機電設備空間〈泳池機房，供電信使用〉、垃圾儲存區、垃圾車裝卸位、機車停車區、機車車道、台電配電室、受電箱區、宅配室、管理員室、管委會辦公室、管委會茶水間、管委會使用空間〈財務室、辦公室、人事室、會議室、檔案室〉、男廁、女廁、通廊、廊道、公共服務空間、門廳、陽台等３２項,鋼筋混凝土造,104年9月8日,十五層,
RPRPMLNJJILFFAF67CA,10,2.77,健身服務場所,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLLJJILFFAF67CA,1,35.27,本共有部分項目有：停車空間、防空避難室兼停車空間等２項,鋼筋混凝土造,104年9月8日,十五層,
RPRPMLNJJILFFAF67CA,10,2.37,共有部分,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRPMLNJJILFFAF67CA,10,.02,共有部分,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPTPMLRJJILFFAF28CA,,106.79,住家用,鋼筋混凝土造,,五層,五層 陽臺
RPTPMLRJJILFFAF28CA,,7.91,共有部分,鋼筋混凝土造,,五層,
RPOPMLMJJILFFBF37CA,4,172.96,集合住宅,鋼筋混凝土造,101年7月12日,十九層,十二層 陽臺 雨遮
RPOPMLMJJILFFBF37CA,4,15.31,本共有部分之項目有汽車車道、警衛室、迎賓大廳、防災中心、管委會使用空間、機車車道、瓦斯室、水表室、排煙管道、樓梯間、油槽室、發電機室、通風機房、裝卸車位、連通道、台電配電場所、汽車停車空間、機車停車空間、電信區、景觀噴灌機房、污水機房、消防泵浦室、集水池、揚水泵浦機房等二十四項。,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,11.40,本共有部分之項目有儲藏室、廁所、娛樂及健身休閒服務業、廊道、泳池機房、空調機房、門廳、陽台、垃圾處理室、垃圾暫停停車位、溫泉泳池機房、泳池水池等十二項。,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,38.35,本共有部分之項目有汽車車道、汽車停車空間等二項。,鋼筋混凝土造,101年7月12日,十九層,
RPOPMLMJJILFFBF37CA,4,65.04,本共有部分之項目有梯廳、樓電梯間、陽台、雨遮、儲藏室、電表室、消防水池、梯間、中繼機房、子母水箱、受電箱、機房、消防水箱、屋頂水箱等十四項。,鋼筋混凝土造,101年7月12日,十九層,
RPUSMLMJJILFFBF28CA,1,87.55,集合住宅,鋼筋混凝土造,104年4月20日,十八層,十六層 陽臺
RPUSMLMJJILFFBF28CA,1,36.99,本共有部分之項目有梯廳、公共管道、一般安全梯、進風管道、排煙管道、排煙室、特別安全梯、緊急昇降機、供行動不便使用昇降機、中繼消防泵浦機房、防災中心、水錶室、電梯機房、消防水箱、屋頂水箱、車道、安全梯、台電配電場所、受電箱、地下室進風口、垃圾處理場、電梯機坑、管委會空間、會車緩衝空間、防空避難室兼停車空間、發電機房、地下室排風口、垃圾車暫停區兼會車緩衝空間、噴灌機房、停車空間、電信機房、水箱、污水機房、消防泵浦室等３４項,鋼筋混凝土造,104年4月20日,十八層,
RPSOMLKKJILFFAF47CA,8,35.10,住家用,鋼筋混凝土造,97年11月11日,十四層,十層 陽臺
RPSOMLKKJILFFAF47CA,8,7.09,共有部分,鋼筋混凝土造,97年11月11日,十四層,
RPSOMLKKJILFFAF47CA,8,9.38,共有部分,鋼筋混凝土造,97年11月11日,十四層,
RPUOMLOJJILFFBF08CA,17,86.13,住家用,鋼筋混凝土造,88年11月3日,十三層,三層 陽臺
RPUOMLOJJILFFBF08CA,17,13.13,共有部分,鋼筋混凝土造,88年11月3日,十三層,
RPUOMLOJJILFFBF08CA,17,7.77,共有部分,鋼筋混凝土造,88年11月3日,十三層,
RPSPMLRJJILFFBF28CA,21,62.60,防空避難室兼停車場,鋼筋混凝土造,85年3月11日,二十一層,地下三層
RPWOMLOJJILFFBF28CA,39,77.02,住家用,鋼筋混凝土造,66年7月16日,四層,三層 陽臺
RPQRMLSJJILFFBF38CA,14,104.05,集合住宅,鋼筋混凝土造,91年7月31日,十四層,四層 陽臺
RPQRMLSJJILFFBF38CA,14,.08,共有部分,鋼筋混凝土造,91年7月31日,十四層,
RPQRMLSJJILFFBF38CA,14,.11,社區管理站,鋼筋混凝土造,91年7月31日,十四層,
RPQRMLSJJILFFBF38CA,14,.08,共有部分,鋼筋混凝土造,91年7月31日,十四層,
RPQRMLSJJILFFBF38CA,14,.11,文康中心,鋼筋混凝土造,91年7月31日,十四層,
RPQRMLSJJILFFBF38CA,14,62.30,共有部分,鋼筋混凝土造,91年7月31日,十四層,
RPRNMLTJJILFFBF18CA,25,89.82,住家用,鋼筋混凝土造,80年6月15日,十五層,十五層 陽臺 花台
RPRNMLTJJILFFBF18CA,25,14.68,共有部分,鋼筋混凝土造,80年6月15日,十五層,
RPRNMLTJJILFFBF18CA,25,15.69,共有部分,鋼筋混凝土造,80年6月15日,十五層,
RPRNMLTJJILFFBF18CA,25,20.68,私設停車場,鋼筋混凝土造,80年6月15日,十五層,
RPUQMLTJJILFFBF78CA,10,58.97,住家用,鋼筋混凝土造,95年8月29日,九層,五層 陽臺 雨遮
RPUQMLTJJILFFBF78CA,10,16.58,共有部分,鋼筋混凝土造,95年8月29日,九層,
RPUQMLTJJILFFBF78CA,10,8.10,共有部分,鋼筋混凝土造,95年8月29日,九層,
RPQPMLKKJILFFBF47CA,9,114.30,住家用,鋼筋混凝土造,96年9月10日,十三層,六層 陽臺 雨遮
RPQPMLKKJILFFBF47CA,9,91.81,共有部分,鋼筋混凝土造,96年9月10日,十三層,
RPROMLQKJILFFBF08CA,25,353.21,住商用,鋼筋混凝土造,80年7月27日,十層,二層 陽臺
RPROMLQKJILFFBF08CA,25,49.99,共有部分,鋼筋混凝土造,80年7月27日,十層,
RPROMLQKJILFFBF08CA,25,67.19,防空避難室兼停車場,鋼筋混凝土造,80年7月27日,十層,
RPUOMLKKJILFFAF67CA,,75.46,住家用,鋼筋混凝土造,,七層,三層 陽臺
RPUOMLKKJILFFAF67CA,,14.80,共有部分,鋼筋混凝土造,,七層,
RPRQMLOKJILFFBF08CA,18,41.23,住家用,鋼筋混凝土造,88年4月9日,十八層,十四層 陽臺
RPRQMLOKJILFFBF08CA,18,.02,管理中心,鋼筋混凝土造,88年4月9日,十八層,
RPRQMLOKJILFFBF08CA,18,.01,共有部分,鋼筋混凝土造,88年4月9日,十八層,
RPRQMLOKJILFFBF08CA,18,.00,共有部分,鋼筋混凝土造,88年4月9日,二十六層,
RPRQMLOKJILFFBF08CA,18,10.07,共有部分,鋼筋混凝土造,88年4月9日,十八層,
RPRQMLOKJILFFBF08CA,18,.38,辦公室,鋼筋混凝土造,88年4月9日,二十六層,
RPRQMLOKJILFFBF08CA,18,4.16,共有部分,鋼筋混凝土造,88年4月9日,二十六層,
RPRQMLOKJILFFBF08CA,18,.04,共有部分,鋼筋混凝土造,88年4月9日,二十六層,
RPWUMLLJJILFFBF58CA,9,67.68,住家用,鋼筋混凝土造,96年10月17日,十九層,十層 陽臺
RPWUMLLJJILFFBF58CA,9,3.72,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,6.37,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,20.72,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,41.78,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWUMLLJJILFFBF58CA,9,1.97,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPVNMLNLJILFFBF18CA,,100.80,集合住宅,鋼筋混凝土造,105年3月23日,二十七層,二十一層 陽臺
RPVNMLNLJILFFBF18CA,,16.90,本共有部分之項目有店舖、商業門廳、梯廳、走廊、排風、健身服務業、警衛室、車道、機車車道、進風、商業管委會使用空間、游泳池、門廳、消防泵浦室、垃圾儲藏室、垃圾車裝卸車位、台電配電場所、自行車停放區、防災中心、裝卸車位、計程車臨時停放區、機車停車空間、緊急發電機室、泳池機房、機電設備空間、進風機房、電信機房、排風機房、公共水箱、排風＆雨水機房、消防機房等３１項,鋼筋混凝土造,105年3月23日,二十七層,
RPVNMLNLJILFFBF18CA,,32.11,本共有部分之項目有住宅門廳、排煙室、梯廳、梯間、中繼機房、水箱、消防水箱、陽台、電錶室、垃圾暫存區、機房、水錶室等１２項,鋼筋混凝土造,105年3月23日,二十七層,
RPVNMLNLJILFFBF18CA,,39.97,本共有部分之項目有汽車車道、停車空間兼防空避難室、停車空間等３項,鋼筋混凝土造,105年3月23日,二十七層,
RPVOMLLJKILFFBF97CA,2,260.74,集合住宅,鋼筋混凝土造,103年11月25日,二十八層,三層 陽臺 雨遮
RPVOMLLJKILFFBF97CA,2,121.07,本共有部分之項目有大廳、電樓梯間、廁所、管委會使用空間、陽台、陽台〈法定空地〉、機房、台電配電室、電表箱室１、電表箱室２、裝卸車位、垃圾儲藏室、發電機室、電信室、機車位、腳踏車位、防空避難室兼停車空間、停車空間、排風機房、進風機房、水池機房、公設水箱、Ａ棟水箱、Ｂ棟水箱、消防泵浦室、消防水箱、自來水水箱、儲藏室、雨遮、電梯機房等三十項。,鋼筋混凝土造,103年11月25日,二十八層,
RPVOMLLJKILFFBF97CA,2,37.05,本共有部分之項目有電樓梯間、陽台、雨遮等三項。,鋼筋混凝土造,103年11月25日,二十八層,
RPTPMLSLJILFFBF68CA,1,113.08,集合住宅,鋼筋混凝土造,104年8月19日,十一層,九層 陽臺 雨遮
RPTPMLSLJILFFBF68CA,1,23.19,見其他登記事項,鋼筋混凝土造,104年8月19日,十二層,
RPTPMLSLJILFFBF68CA,1,55.94,本共有部分項目有停車空間、機電設備空間、機房、梯廳、樓梯間、台電配電場所、蓄水池、消防泵浦室、汙水機房、發電機室等１０項。,鋼筋混凝土造,104年8月19日,十二層,
RPWNMLMJJILFFCF08CA,9,.45,一般服務業,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.13,共有部分,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.74,一般服務業,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.21,共有部分,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.15,一般服務業,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.04,共有部分,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.68,一般服務業,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,.19,共有部分,鋼筋混凝土造,97年1月21日,七層,
RPWNMLMJJILFFCF08CA,9,78.53,一般事務所,鋼筋混凝土造,97年2月1日,七層,一層 陽臺
RPWNMLMJJILFFCF08CA,9,55.72,共有部分,鋼筋混凝土造,97年2月1日,七層,
RPWNMLMJJILFFCF08CA,9,.12,一般事務所,鋼筋混凝土造,97年2月1日,七層,
RPWNMLMJJILFFCF08CA,9,.90,共有部分,鋼筋混凝土造,97年2月1日,七層,
RPWNMLMJJILFFCF08CA,8,.38,一般零售業,鋼筋混凝土造,97年3月4日,十五層,
RPWNMLMJJILFFCF08CA,8,.11,共有部分,鋼筋混凝土造,97年3月4日,十五層,
RPOPMLRJJILFFBF87CA,8,172.50,住家用,鋼筋混凝土造,97年4月1日,三層,一層 二層 三層 陽臺 屋頂突出物 地下一層
RPOPMLRJJILFFBF87CA,8,62.31,共有部分,鋼筋混凝土造,97年4月1日,三層,
RPQQMLTJKILFFBF48CA,14,104.12,集合住宅,鋼筋混凝土造,91年7月31日,十四層,七層 陽臺
RPQQMLTJKILFFBF48CA,14,.11,社區管理站,鋼筋混凝土造,91年7月31日,十四層,
RPQQMLTJKILFFBF48CA,14,.11,文康中心,鋼筋混凝土造,91年7月31日,十四層,
RPQQMLTJKILFFBF48CA,14,62.46,共有部分,鋼筋混凝土造,91年7月31日,十四層,
RPWNMLMLJILFFBF18CA,3,72.46,集合住宅,鋼筋混凝土造,102年8月12日,十九層,五層 陽臺 雨遮
RPWNMLMLJILFFBF18CA,3,48.37,本共有部分之項目有管委會空間、梯廳、垃圾儲存室、台電配電場所、受電箱、電信機房、機房、防災中心、防空避難室兼停車空間、機車停車空間、樓電梯間、發電機房、水箱、停車空間、污水機房、消防機房等１６項。,鋼筋混凝土造,102年8月12日,十九層,
RPWNMLMLJILFFBF18CA,3,18.60,本共有部份之項目有梯廳、排煙室、樓電梯間、陽台、機械空間、消防中繼水箱、雨遮、機械室、水箱等９項。,鋼筋混凝土造,102年8月12日,十九層,
SPVNMLMKJILFFCF18CA,,122.74,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十三層 陽臺 雨遮
SPVNMLMKJILFFCF18CA,,86.54,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
TPVNMLMKJILFFCF28CA,,88.76,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十九層 陽臺 雨遮
TPVNMLMKJILFFCF28CA,,68.53,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPWNMLMKJILFFCF18CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十二層 陽臺 雨遮
RPWNMLMKJILFFCF18CA,,115.43,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPXNMLMKJILFFCF28CA,,123.55,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二層 陽臺 雨遮
RPXNMLMKJILFFCF28CA,,90.30,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPVOMLSLJILFFBF78CA,36,108.60,商業用,鋼筋混凝土造,69年4月17日,四層,一層 平台 停車場
RPRNMLMKJILFFCF67CA,,126.74,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十九層 陽臺 雨遮
RPRNMLMKJILFFCF67CA,,91.92,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPPNMLMKJILFFCF47CA,,126.56,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,五層 陽臺 雨遮
RPPNMLMKJILFFCF47CA,,101.43,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPQNMLMKJILFFCF57CA,,126.56,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十四層 陽臺 雨遮
RPQNMLMKJILFFCF57CA,,91.92,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPVNMLMKJILFFCF08CA,,204.04,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十三層 二十四層 陽臺 雨遮
RPVNMLMKJILFFCF08CA,,151.08,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPPOMLMKJILFFCF57CA,,89.57,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十三層 陽臺 雨遮
RPPOMLMKJILFFCF57CA,,47.27,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
SPPOMLMKJILFFCF67CA,,92.70,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,六層 陽臺 雨遮
SPPOMLMKJILFFCF67CA,,74.04,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPUOMLMKJILFFCF08CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十一層 陽臺 雨遮
RPUOMLMKJILFFCF08CA,,115.43,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPSNMLMKJILFFCF77CA,,126.56,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十層 陽臺 雨遮
RPSNMLMKJILFFCF77CA,,91.92,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPUNMLMKJILFFCF97CA,,126.56,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十二層 陽臺 雨遮
RPUNMLMKJILFFCF97CA,,116.93,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
SPUOMLMKJILFFCF18CA,,88.79,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十層 陽臺 雨遮
SPUOMLMKJILFFCF18CA,,71.91,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPTNMLMKJILFFCF87CA,,126.56,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十一層 陽臺 雨遮
RPTNMLMKJILFFCF87CA,,116.93,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPVOMLMKJILFFCF18CA,,88.76,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十六層 陽臺 雨遮
RPVOMLMKJILFFCF18CA,,93.55,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPQOMLMKJILFFCF67CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十四層 陽臺 雨遮
RPQOMLMKJILFFCF67CA,,90.42,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPTOMLMKJILFFCF97CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十層 陽臺 雨遮
RPTOMLMKJILFFCF97CA,,90.42,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPROMLMKJILFFCF77CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十八層 陽臺 雨遮
RPROMLMKJILFFCF77CA,,115.43,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPSOMLMKJILFFCF87CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十九層 陽臺 雨遮
RPSOMLMKJILFFCF87CA,,112.06,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPOOMLMKJILFFCF47CA,,123.82,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十二層 陽臺 雨遮
RPOOMLMKJILFFCF47CA,,87.04,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
SPXNMLMKJILFFCF38CA,,92.70,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十層 陽臺 雨遮
SPXNMLMKJILFFCF38CA,,59.78,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPVPMLMKJILFFCF28CA,,91.05,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,十七層 陽臺 雨遮
RPVPMLMKJILFFCF28CA,,48.15,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPWPMLMKJILFFCF38CA,,91.05,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十層 陽臺 雨遮
RPWPMLMKJILFFCF38CA,,73.16,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPOPMLMKJILFFCF57CA,,91.05,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二層 陽臺 雨遮
RPOPMLMKJILFFCF57CA,,73.16,本共有部份之項目有陽台、特別安全梯、梯廳、機房、門廊、騎樓、中繼層、設備空間、消防水箱、機械室、水箱、防災中心、通風機房、供公眾使用停車空間、台電配電室、電信機房、發電機房、停車空間、消防機房及防空避難室兼停車空間等２０項。,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,
RPWOMLMKJILFFCF28CA,,88.76,集合住宅,鋼骨鋼筋混凝土構造,105年9月12日,二十四層,二十層 陽臺 雨遮
