編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLOKNHJGFAG28CC,一樓平面,0,,一樓
RPRNMLNKNHJGFBG18CC,坡道平面,0,,地下一樓
RPSNMLNKNHJGFBG28CC,坡道平面,0,,地下一樓
RPRNMLPKNHJGFBG38CC,坡道平面,0,,地下一樓
RPUNMLPKNHJGFBG68CC,一樓平面,0,,一樓
RPPNMLQKNHJGFBG28CC,坡道機械,0,11.80,地下三樓
RPPNMLPKNHJGFAG08CC,坡道平面,0,,地下一樓
RPPNMLLLNHJGFAG77CC,一樓平面,0,,一樓
RPQNMLKLNHJGFBG87CC,一樓平面,0,,一樓
RPUNMLLLNHJGFAG28CC,升降機械,0,,地下一樓
RPQNMLLLNHJGFBG97CC,坡道平面,3000,31.42,地下一樓
RPQNMLPKNHJGFBG38DC,坡道平面,0,,地下二樓
RPQNMLSLNHJGFBG68CC,坡道機械,0,,地下一樓
RPQNMLKMNHJGFBG97CC,坡道平面,0,,地下一樓
RPPNMLKMNHJGFBG87CC,一樓平面,0,,一樓
RPVNMLKMNHJGFBG48CC,一樓平面,0,,一樓
RPXNMLKMNHJGFBG68CC,一樓平面,0,,一樓
RPVNMLKMNHJGFAG38CC,坡道平面,0,,地下一樓
RPQNMLOJOHJGFBG18CC,坡道平面,0,,無固定樓層
RPRNMLOJOHJGFBG28CC,坡道機械,0,,地下一樓
RPWNMLQJOHJGFBG98CC,坡道平面,0,,地下一樓
RPVNMLQJOHJGFBG88CC,坡道平面,0,,地下一樓
RPUNMLRKOHJGFBG98CC,坡道平面,0,,地下一樓
RPPNMLSKOHJGFAG48CC,一樓平面,0,,一樓
RPXNMLSKOHJGFBG76CC,坡道平面,0,,地下一樓
RPUNMLSKOHJGFBG09CC,坡道平面,0,,地下一樓
RPPNMLTKOHJGFAG58CC,坡道平面,0,,地下一樓
RPPNMLLLOHJGFAG87CC,一樓平面,0,,一樓
RPSNMLLLOHJGFBG28CC,坡道平面,0,,地下一樓
RPSNMLPLOHJGFAG58CC,坡道平面,0,,地下一樓
RPTNMLRLOHJGFAG88CC,一樓平面,0,,一樓
RPPNMLLJPHJGFBG87CC,一樓平面,0,,一樓
RPQNMLOJPHJGFAG18CC,坡道平面,0,,地下二樓
RPPNMLPJPHJGFAG18CC,一樓平面,0,18.13,一樓
RPQNMLQKPHJGFAG48CC,一樓平面,0,13.75,一樓
RPRNMLRKPHJGFAG68CC,一樓平面,0,13.75,一樓
RPQNMLRKPHJGFAG58CC,升降平面,0,,地下一樓
RPUNMLRKPHJGFAG98CC,一樓平面,0,,一樓
RPQNMLRKPHJGFBG68CC,坡道平面,0,,地下一樓
RPTNMLSKPHJGFAG98CC,一樓平面,0,,一樓
RPQNMLSKPHJGFBG78CC,坡道平面,0,,地下一樓
RPVNMLTKPHJGFAG66CC,一樓平面,0,,一樓
RPQOMLTKPHJGFAG88CC,一樓平面,0,,一樓
RPPNMLTKPHJGFBG78CC,一樓平面,0,,一樓
RPTNMLTKPHJGFBG56CC,坡道機械,0,,地下一樓
RPOOMLTKPHJGFBG78CC,坡道平面,0,,地下一樓
RPTOMLTKPHJGFBG66CC,坡道平面,0,,地下一樓
RPPNMLQLPHJGFBG58CC,坡道平面,0,29.76,地下一樓
RPSNMLLMPHJGFAG38CC,一樓平面,0,,一樓
RPSNMLMJQHJGFBG38CC,一樓平面,0,,一樓
RPSNMLMJQHJGFBG38CC,一樓平面,0,,一樓
RPWNMLMJQHJGFBG78CC,一樓平面,0,,一樓
RPPNMLQJQHJGFAG38CC,坡道機械,0,,地下一樓
