編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMKNHJGFHD18CB,一樓平面,1300000,14.06,一樓
RPPNMLLKNHJGFHD97CB,坡道平面,1600000,19.84,地下一樓
RPRNMLLKNHJGFAD47CB,坡道平面,2000000,26.51,地下一樓
RPRNMLNKNHJGFAD67CB,坡道平面,1950000,30.27,地下二樓
RPRNMLNKNHJGFAD67CB,坡道平面,1850000,30.27,地下二樓
RPTNMLNKNHJGFAD87CB,坡道平面,1800000,30.27,地下三樓
RPTNMLNKNHJGFAD87CB,坡道平面,1750000,30.27,地下三樓
RPXNMLNKNHJGFAD28CB,坡道平面,1800000,30.27,地下三樓
RPSNMLNKNHJGFAD77CB,坡道平面,1850000,30.27,地下二樓
RPSNMLNKNHJGFAD77CB,坡道平面,1900000,30.27,地下二樓
RPWNMLNKNHJGFAD18CB,坡道平面,1850000,30.27,地下三樓
RPRNMLNKNHJGFID48CB,其他,850000,7.36,一樓
RPOOMLNKNHJGFAD47CB,坡道平面,1900000,32.76,地下三樓
RPPNMLNKNHJGFBD57CB,坡道平面,1300000,29.66,地下二樓
RPPNMLNKNHJGFID28CB,坡道機械,550000,15.97,地下二樓
RPQNMLOKNHJGFBD77CB,坡道平面,1350000,29.66,地下二樓
RPSNMLOKNHJGFHD58CB,坡道機械,900000,5.55,地下一樓
RPTNMLOKNHJGFHD68CB,一樓平面,1350000,15.05,一樓
RPWNMLOKNHJGFHD98CB,坡道機械,1050000,5.55,地下一樓
RPUNMLOKNHJGFHD78CB,一樓平面,1700000,14.15,一樓
RPPOMLOKNHJGFHD38CB,坡道機械,1050000,5.55,地下一樓
RPOOMLOKNHJGFHD28CB,一樓平面,1700000,14.15,一樓
RPTNMLOKNHJGFKD98CB,坡道平面,1650000,24.73,地下三樓
RPSNMLOKNHJGFKD88CB,坡道平面,1650000,24.73,地下三樓
RPSNMLOKNHJGFKD88CB,坡道平面,1550000,24.73,地下三樓
RPVNMLOKNHJGFKD56CB,坡道平面,1550000,24.73,地下三樓
RPRNMLPKNHJGFBD97CB,坡道平面,1500000,32.94,地下五樓含以下
RPUNMLOKNHJGFKD09CB,坡道平面,1650000,24.73,地下二樓
RPWOMLPKNHJGFBD58CB,坡道平面,1410000,30.03,地下二樓
RPQNMLPKNHJGFCD97CB,坡道平面,1420000,26.25,地下二樓
RPRNMLPKNHJGFCD08CB,坡道平面,1670000,26.25,地下二樓
RPWNMLOKNHJGFKD66CB,坡道平面,1650000,24.73,地下二樓
RPWNMLPKNHJGFCD58CB,坡道平面,1670000,26.25,地下一樓
RPVNMLPKNHJGFCD48CB,坡道平面,1570000,26.25,地下二樓
RPXNMLPKNHJGFCD68CB,坡道平面,1570000,26.25,地下三樓
RPVQMLPKNHJGFHD66CB,坡道平面,1500000,31.34,地下二樓
